Name,Rating,Review_Count,Industry,Description,Relative_Link
Crawford & Company,3.4,706 reviews,Insurance Agencies & Brokerages,"As the world's largest publicly traded claims management company, our mission is to restore and enhance lives, businesses and communities.",/cmp/Crawford-&-Company
"Allcat Claims Service, LLC",2.8,156 reviews,Insurance Carriers,"Allcat Claims Service, LP is a total solution provider for all of your insurance claims needs.We can handle all aspects of your claims process, including initial calls received during normal business.","/cmp/Allcat-Claims-Service,-LLC"
Kemper,3.2,"1,177 reviews",Insurance Carriers,N/A,/cmp/Kemper-9
Tesla,3.3,"8,168 reviews",Manufacturing,Tesla is accelerating the world’s transition to sustainable energy.,/cmp/Tesla
Homeward Health,N/A,N/A,Hospitals & Health Clinics,N/A,/cmp/Homeward-Health
PacificSource Health Plans,3.2,159 reviews,Insurance,"PacificSource is an independent, not-for-profit community health plan serving the Northwest, with a vision to be the lifelong trusted partner of our members and communities.",/cmp/Pacificsource-Health-Plans
Progressive,3.6,"5,866 reviews",Insurance Carriers,"At Progressive, we exist to help people move forward and live fully.",/cmp/Progressive
The Hanover Insurance Group,3.6,408 reviews,Insurance Carriers,"The Hanover Insurance Group, Inc. is the holding company for several property and casualty insurance companies, which together constitute one of the largest insurance businesses in the United States.",/cmp/The-Hanover-Insurance-Group
Western States Envelope & Label,2.8,83 reviews,Manufacturing,"Western States is a wholesale envelope, label & packaging manufacturer for the printing, distributing, mailing & office supply trades.",/cmp/Western-States-Envelope-&-Label
Olin Winchester Ammunition,3.0,107 reviews,Manufacturing,N/A,/cmp/Olin-Winchester-Ammunition
Acrisure LLC,2.6,159 reviews,Financial Services,"As a global fintech leader, Acrisure empowers millions of ambitious businesses and individuals with the right solutions to grow. Find out more at www.Acrisure.com.",/cmp/Acrisure-LLC
Liberty Mutual Insurance,3.5,"5,793 reviews",Insurance Carriers,"Liberty Mutual Insurance is a diversified global insurer with over 40,000 employees located in more than 900 offices throughout the world.",/cmp/Liberty-Mutual-Insurance
Farm Bureau Financial Services,3.6,277 reviews,Insurance,N/A,/cmp/Farm-Bureau-Financial-Services
Sompo International,3.6,55 reviews,Farm Support,N/A,/cmp/Sompo-International
Sentry,3.4,454 reviews,Insurance Carriers,"Sentry is part of one of the largest and financially strongest mutual insurance groups in the U.S., headquartered in Stevens Point, Wisconsin.",/cmp/Sentry-a9330e00
Fred Loya Insurance,2.7,830 reviews,Insurance,Loya Insurance Group is a National leading provider in Automobile Insurance leveraging over 35 years of experience.,/cmp/Fred-Loya-Insurance
Nucor Corporation,3.9,686 reviews,Manufacturing,"Leading as North America's largest and most diversified steel and steel products company. We are a team fostering innovation, teamwork and sustainable growth for employees and the community.",/cmp/Nucor-Corporation-7e760088
Cenveo,2.9,520 reviews,Commercial Printing,Cenveo operates 14 facilities nationwide with a commitment to producing world-class products that foster a more sustainable future.,/cmp/Cenveo-45791a9e
IAnet,2.8,5 reviews,Insurance Agencies & Brokerages,N/A,/cmp/Ianet-2
American Modern Insurance Group,3.7,200 reviews,Insurance,N/A,/cmp/American-Modern-Insurance-Group
IWCO,3.2,258 reviews,Commercial Printing,"We help you find your audience, develop creative that hooks them, and produce campaigns that can't be ignored. But also, when a disaster looms, we will keep your critical communications on track.",/cmp/Iwco-2
RYZE Claim Solutions,3.0,52 reviews,Insurance,N/A,/cmp/Ryze-Claim-Solutions
Your Virtual Adjuster,N/A,N/A,N/A,N/A,/cmp/Your-Virtual-Adjuster
SalesBountyHunter,N/A,N/A,Recruiting,"For companies to find talent fast, and for candidates to get a partner in the job search process.",/cmp/Salesbountyhunter
MAPSTED,3.8,4 reviews,Information Technology,"Joining Mapsted means working in a diverse, innovative team shaping global location tech. For more info - www.mapsted.com",/cmp/Mapsted
RDSolutions,3.6,473 reviews,Information Technology,"RDSolutions is a category leader with a rich 30-year history. We are based in Richmond, Virginia and have an international footprint that covers the U.S., Canada and Puerto Rico.",/cmp/Rdsolutions-2
"National Water Services, LLC.",4.4,19 reviews,Food & Beverage Manufacturing,"Our purpose-driven company is dedicated to protecting our planet, promoting your health, and delivering superior drinking water at affordable prices.","/cmp/National-Water-Services,-Llc."
Westat,4.0,803 reviews,Information Technology,"Westat offers innovative professional services to help clients improve outcomes in health, education, social policy, and transportation. We are dedicated to improving lives through research.",/cmp/Westat
NORC at the University of Chicago,3.6,790 reviews,Nonprofit & NGO,NORC conducts nonpartisan social science and public opinion research. Our political polling is done strictly on a nonpartisan basis and not for political parties or organizations.,/cmp/Norc-At-the-University-of-Chicago
Tesla,3.3,"8,168 reviews",Manufacturing,Tesla is accelerating the world’s transition to sustainable energy.,/cmp/Tesla
Tyson Foods Incorporated,3.6,"11,329 reviews",Food & Beverage Manufacturing,"World headquartered in Springdale, Arkansas, Tyson Foods Incorporated is one of the biggest producers of meat and poultry in the world.",/cmp/Tyson-Foods-Incorporated
ShipLuxe LLC,4.6,10 reviews,Transportation & Logistics,N/A,/cmp/Shipluxe-LLC
Qbtech,N/A,N/A,Pharmaceutical & Biotechnology,"Since 2000, Qbtech has been focused on a technology-first approach to ADHD assessment; combining both subjective and objective data.",/cmp/Qbtech
RTI International,3.7,544 reviews,Nonprofit & NGO,"RTI International is an independent, nonprofit research institute dedicated to improving the human condition.",/cmp/Rti-International
Matrix Design Group Inc.,3.6,16 reviews,Architectural & Engineering Services,Matrix is an Employee-Owned consulting firm providing innovative leading edge solutions across a broad array of complex disciplines and industries.,/cmp/Matrix-Design-Group-Inc.
Asteroom,3.5,2 reviews,Real Estate Agencies,"Asteroom is a software company specializing in 3D tours and comprehensive property data collection, revolutionizing how properties are showcased and assessed in the real estate industry.",/cmp/Asteroom
Qualus,3.5,11 reviews,Energy & Utilities,Qualus is a leading provider of specialized engineering and technical field services.,/cmp/Qualus
Vision Government Solutions,3.3,34 reviews,Software Development,"Our mission is to provide the very best mass appraisal and property tax solutions, creating a better future one community at a time. Are you ready to join us?",/cmp/Vision-Government-Solutions
University of Virginia,4.1,648 reviews,Education,N/A,/cmp/University-of-Virginia
Retail Odyssey,2.5,215 reviews,Retail & Wholesale,N/A,/cmp/Retail-Odyssey
ScanScape,3.5,183 reviews,Information Technology,"Being a field representative offers job independence, flexible work hours, job consistency and some physical activity. If you would like to join us, don’t wait! Apply today!",/cmp/Scanscape
"The Traffic Group, Inc.",3.6,8 reviews,Transportation Management,TTG is the nation’s leading traffic engineering and transportation planning firms dealing with the movement of vehicles and pedestrians.,"/cmp/The-Traffic-Group,-Inc."
Garmin,3.7,409 reviews,Manufacturing,Engineered on the inside for life on the outside.,/cmp/Garmin
Qualitest,3.4,92 reviews,Information Technology,N/A,/cmp/Qualitest-4
Greene Resources,3.1,118 reviews,Human Resources & Staffing,"Greene Resources is part of Array Corporation, the leading technology-enabled workforce solutions company whose mission is to fix how labor is bought, sold, and delivered.",/cmp/Greene-Resources
Amazon.com,3.5,"54,225 reviews",Retail & Wholesale,Our mission is to be Earth's most customer-centric company.,/cmp/Amazon.com
Tyler Technologies,3.5,354 reviews,Software Development,"We empower the public sector to create smarter, safer, and stronger communities.",/cmp/Tyler-Technologies-29572f8d
SAS Retail Services,2.8,"2,608 reviews",Advertising & Public Relations,SAS provides national retail merchandising services,/cmp/SAS-Retail-Services
Gewalt Hamilton Associates,3.6,9 reviews,N/A,Gewalt Hamilton Associates is a Professional Engineering firm,/cmp/Gewalt-Hamilton-Associates
JLL,3.7,"3,789 reviews",Real Estate,We’re JLL— a leading professional services and investment management firm specializing in real estate. We help organizations around the world achieve their business ambitions.,/cmp/Jll
Vital Research,4.2,54 reviews,Research & Development,N/A,/cmp/Vital-Research
Tetra Tech,3.7,"1,139 reviews",Management & Consulting,"Tetra Tech is a leading, global provider of consulting and engineering services. We are differentiated by Leading with Science®.",/cmp/Tetra-Tech
"Rekor Systems, Inc.",3.3,9 reviews,Information Technology,Rekor’s technology is propelling the evolution from traditional license plate recognition systems and traffic monitoring to AI-enabled smart roadways capable of serving multiple missions from a single,"/cmp/Rekor-Systems,-Inc."
cFocus Software Incorporated,N/A,N/A,Information Technology,"cFocus Software provides Cyber Security, Enterprise IT, Azure FedRAMP, and Chatbot services to government agencies. Our exclusive ATO as a Service™ offering automates Azure FedRAMP compliance.",/cmp/Cfocus-Software-Incorporated
Hamaspik HomeCare,3.9,38 reviews,Medical Testing & Clinical Laboratories,Hamaspik HomeCare provides a variety of homecare services in the comfort of the patients’ homes.,/cmp/Hamaspik-Homecare-1
National Institute for Early Education R,4.0,1 review,Preschools & Child Care Services,N/A,/cmp/National-Institute-For-Early-Education-R
Appen,3.5,"1,265 reviews",Information Technology,Appen provides accurate and reliable human annotated datasets that fuel AI and machine learning for some of the world’s biggest brands.,/cmp/Appen
Vista Technology Services,4.4,5 reviews,N/A,N/A,/cmp/Vista-Technology-Services
Service Measure LLC,2.0,4 reviews,N/A,N/A,/cmp/Service-Measure-LLC
Activ8 Chicago,5.0,2 reviews,Human Resources & Staffing,"Activ8 delivers practical hiring solutions for Japanese and Korean-affiliated companies across North America, specializing in manufacturing, logistics, automotive, and technical roles.",/cmp/Activ8-Chicago-1
The Wonderful Company LLC,3.2,72 reviews,Food & Beverage Manufacturing,"The Wonderful Company is a privately held $6 billion global company that owns iconic brands, including FIJI Water, POM Wonderful, Wonderful Pistachios, Wonderful Halos, JUSTIN wines, and more.",/cmp/The-Wonderful-Company-LLC
Idaho Forest Group,3.3,102 reviews,Manufacturing,"Idaho Forest Group grows, harvests, manufactures and distributes the incredible product that is wood.",/cmp/Idaho-Forest-Group
InSearch,4.3,7 reviews,Human Resources & Staffing,We look beyond job titles and resume headings to target opportunities that focus on people’s strengths and make the most of their experience. We will get you in front of hiring managers!,/cmp/Insearch-4
Niricson Software Inc.,4.2,5 reviews,"Construction, Repair & Maintenance Services",N/A,/cmp/Niricson-Software-Inc.
WME Express,5.0,1 review,Transportation & Logistics,N/A,/cmp/Wme-Express
Long Beach Transit,4.0,39 reviews,Transportation Management,"Long Beach Transit is a municipal transit company providing fixed and flexible bus transit services in Long Beach, California.",/cmp/Long-Beach-Transit
Goodman Manufacturing,3.5,806 reviews,Manufacturing,"For over three decades, the Goodman brand has concentrated on something more important than simple brand-recognition consumer advertising.",/cmp/Goodman-Manufacturing
Clear Capital,3.0,121 reviews,Financial Services,"We are Clear Capital, a Real Estate Valuation Data and Analytics Company, working hard to make people's lives better, everyday.",/cmp/Clear-Capital-3
Class Valuation,2.5,93 reviews,Real Estate,N/A,/cmp/Class-Valuation
Diamond Assets,2.4,38 reviews,Information Technology Support Services,N/A,/cmp/Diamond-Assets
INSPYR Solutions,3.8,146 reviews,Information Technology,"As a national expert in delivering flexible technology and talent solutions, we strategically align industry and technical expertise with our clients’ business objectives and cultural needs.",/cmp/Inspyr-Solutions
Atrium Health Wake Forest Baptist,3.8,936 reviews,Healthcare,"Atrium Health Wake Forest Baptist is a leading academic health system in Winston-Salem, NC. We integrate top-tier care, education, and research to advance healthcare - for all.",/cmp/Atrium-Health-Wake-Forest-Baptist-1
WeDriveU,3.3,173 reviews,Transportation & Logistics,"WeDriveU is the leader in shared mobility solutions that connect communities, campuses, and workplaces. WeDriveU operates private shuttle and public transit systems across the U.S.",/cmp/Wedriveu
"Traffic, Planning, and Design, Inc.",3.5,8 reviews,Transportation & Logistics,"Founded in 1989, TPD is a transportation engineering firm headquartered in Pottstown, PA.","/cmp/Traffic,-Planning,-and-Design,-Inc."
FedEx,3.5,"62,043 reviews",Shipping & Trucking,"Headquartered in Memphis, US, FedEx is a global delivery service company that has changed the way the world moves packages.",/cmp/FedEx
"OnWay Transport, LLC",2.9,30 reviews,Transportation & Logistics,N/A,"/cmp/Onway-Transport,-LLC"
Clinical Pathology Laboratories,3.0,598 reviews,Medical Testing & Clinical Laboratories,"Clinical Pathology Laboratories, a member of the Sonic Healthcare USA family, is one of the largest medical reference laboratory systems in the nation.",/cmp/Clinical-Pathology-Laboratories
Insomnia Cookies,3.1,905 reviews,Restaurants & Food Service,"With an expanding footprint of 225+ stores nationally and a rapidly-growing nationwide shipping and gifting portfolio, Insomnia Cookies is revolutionizing the cookie game by imagining what’s possible!",/cmp/Insomnia-Cookies
Eurofins,2.8,"2,827 reviews",Pharmaceutical & Biotechnology,Eurofins Scientific is a group of international life sciences companies which provide a unique range of analytical testing services to clients across multiple industries.,/cmp/Eurofins
American Red Cross,3.7,"8,713 reviews",Nonprofit & NGO,"As a Red Cross employee, you’ll have opportunities to grow your career and be recognized and rewarded for your efforts. Join us to make your career a force for good.",/cmp/American-Red-Cross
Accurate Courier Services,2.7,83 reviews,Transportation & Logistics,"The most reliable point-to-point, pickup and delivery services in the industry.",/cmp/Accurate-Courier-Services
Certified Group,2.2,333 reviews,Biotechnology,N/A,/cmp/Certified-Group
Labcorp,3.3,"8,779 reviews",Healthcare,N/A,/cmp/Labcorp
Pace Analytical Services LLC,2.7,526 reviews,Pharmaceutical & Biotechnology,"At Pace®, we’re committed to continuously moving science forward to make an impact on the health and safety of our communities and lives. We are the People Advancing Science®.",/cmp/Pace-Analytical-Services-LLC
LifeSouth Community Blood Centers,2.6,408 reviews,Healthcare,"LifeSouth is a 501(c)(3) non-profit community blood supplier for more than 150 hospitals in Alabama, Florida and Georgia.",/cmp/Lifesouth-Community-Blood-Centers
American Health Associates,2.2,426 reviews,Healthcare,N/A,/cmp/American-Health-Associates
BioTouch,3.0,242 reviews,N/A,"A single-source, national provider for your medical kitting and logistics needs. We partner with a wide range of medical facilities and healthcare providers to bring a higher level of care in health.",/cmp/Biotouch-4
UberEATS,3.3,"2,318 reviews",Information Technology,N/A,/cmp/Ubereats
"Medzoomer, Inc.",3.0,13 reviews,Transportation & Logistics,N/A,"/cmp/Medzoomer,-Inc."
"Yzer, LLC",3.2,16 reviews,Transportation & Logistics,N/A,"/cmp/Yzer,-LLC"
TridentCare,2.8,295 reviews,Medical Testing & Clinical Laboratories,"TridentCare operates in 40 states. X-ray, Ultrasound, laboratory, PICC services, and more are provided promptly and safely wherever you work, live, play, or gather. We go where you are.",/cmp/Tridentcare
Interpath Laboratory,3.1,103 reviews,Medical Testing & Clinical Laboratories,"Interpath Laboratory, Inc. is a family owned & operated, clinical and anatomic pathology laboratory with over 90 locations in Oregon, Washington and Idaho.",/cmp/Interpath-Laboratory
American Esoteric Laboratories,3.0,116 reviews,Medical Testing & Clinical Laboratories,N/A,/cmp/American-Esoteric-Laboratories
FexEx Express,3.5,109 reviews,Transportation & Logistics,N/A,/cmp/Fexex-Express
Quest Diagnostics,3.5,"7,572 reviews",Healthcare,"Working together to create a healthier world, one life at a time.",/cmp/Quest-Diagnostics
Trash Fairies,3.5,27 reviews,Waste Management,"We provide clean, safe, reliable doorstep trash & recycling for multi-family households.",/cmp/Trash-Fairies
UPS,3.7,"62,735 reviews",Shipping & Trucking,N/A,/cmp/UPS
OneBlood,3.1,628 reviews,Nonprofit & NGO,"OneBlood is responsible for providing safe, available and affordable blood to 213 hospital partners and their patients.",/cmp/Oneblood
Amazon Flex,3.4,"4,476 reviews",Transportation Management,Amazon Flex provides a flexible opportunity for individuals looking to turn free time into supplementary income.,/cmp/Amazon-Flex
WVU Medicine,3.5,"1,265 reviews",Healthcare,WVU Medicine - West Virginia University Health System is West Virginia University’s affiliated health system.,/cmp/Wvu-Medicine
DoorDash,3.3,"15,630 reviews",Information Technology Support Services,"When you join our team, you join our dream: to grow and empower local economies.",/cmp/Doordash
"Clinical Laboratories of Hawaii, LLP",3.5,43 reviews,Medical Testing & Clinical Laboratories,N/A,"/cmp/Clinical-Laboratories-of-Hawaii,-LLP"
Courier Express Inc.,1.6,13 reviews,Shipping & Trucking,N/A,/cmp/Courier-Express-Inc.-1
Vital Delivery Solutions,3.8,74 reviews,Transportation & Logistics,N/A,/cmp/Vital-Delivery-Solutions-1
Quicksilver Express Courier,2.8,74 reviews,Shipping & Trucking,N/A,/cmp/Quicksilver-Express-Courier
Pathology Laboratories,3.3,51 reviews,Medical Testing & Clinical Laboratories,N/A,/cmp/Pathology-Laboratories
Trinity Health,3.2,"1,757 reviews",Healthcare,"Trinity Health is one of the largest multi-institutional Catholic health care delivery systems in the nation, serving diverse communities that include more than 30 million people across 25 states.",/cmp/Trinity-Health
SPS Global,3.1,507 reviews,Management & Consulting,WE CONNECT THE PHISICAL AND DIGITAL WORLDS - SPS is a global market leader in the field of Business Process Services for Document Management solutions.,/cmp/Sps-Global-6
Rapid Medical,2.6,11 reviews,N/A,N/A,/cmp/Rapid-Medical
Singing River Health System,3.3,128 reviews,Healthcare,N/A,/cmp/Singing-River-Health-System
First Legal,3.0,37 reviews,N/A,First Legal is the first true comprehensive File Thru Trial™ solutions firm. This single-source approach enables us to simplify the litigation process for our clients.,/cmp/First-Legal-4
"Priority Dispatch, Inc.",2.8,159 reviews,Transportation & Logistics,N/A,"/cmp/Priority-Dispatch,-Inc."
ALS Global,2.9,962 reviews,Research & Development,N/A,/cmp/Als-Global-5
HNL Lab Medicine,3.0,151 reviews,Healthcare,Inspiring a healthier and better-informed world.,/cmp/Hnl-Lab-Medicine
Ameriship Parcel Delivery,1.0,2 reviews,N/A,N/A,/cmp/Ameriship-Parcel-Delivery
Associated Couriers LLC,3.0,91 reviews,Transportation & Logistics,Life Couriers exists to provide customized logistics solutions to highly specialized shippers in the time-critical freight industry.,/cmp/Associated-Couriers-LLC
MedSpeed,3.2,576 reviews,Healthcare,N/A,/cmp/Medspeed
"Capstone Logistics, LLC",2.6,"3,069 reviews",Transportation & Logistics,"Capstone Logistics, LLC. is the leading performance workgroup partner in the United States. With over 347 operating locations.","/cmp/Capstone-Logistics,-LLC"
Sonora Quest Laboratories,3.3,448 reviews,Healthcare,"You’ll feel right at home at SQL doing meaningful work on behalf of better health. We have a welcoming, team focused environment with upward mobility, employee education, and a supportive DE&I focus",/cmp/Sonora-Quest-Laboratories
Signature Health Inc,3.3,75 reviews,Healthcare,"Signature Health is a non-profit community health center, we make behavioral health, primary care, infectious disease, pharmacy, lab and case management services accessible to patients of NE Ohio.",/cmp/Signature-Health-Inc-1
Trans Ova Genetics,3.9,12 reviews,Agriculture,"Better Genetics, Better World Trans Ova is committed to being good stewards of technology, environment and natural resources",/cmp/Trans-Ova-Genetics
Amazon DSP,2.9,"4,150 reviews",Transportation & Logistics,"DSPs are local, independent businesses that deliver packages to customers out of warehouses in the area. Each independently owned and operated DSP is part of a vast network of shipping partners.",/cmp/Amazon-Dsp
Fulgent Therapeutics,2.7,6 reviews,Software Development,N/A,/cmp/Fulgent-Therapeutics-1
Crosstown Courier Service,3.7,18 reviews,Transportation & Logistics,"Over the past 15 years, we have provided exemplary service to the Veterans Medical Center and many other industries and agencies.",/cmp/Crosstown-Courier-Service
Secret View,4.2,27 reviews,Management & Consulting,N/A,/cmp/Secret-View
Ipsos,3.6,"1,772 reviews",Research & Development,Ipsos est le leader en France des études de marché et des enquêtes d’opinion.,/cmp/Ipsos
Market Force Information,3.4,99 reviews,N/A,N/A,/cmp/Market-Force-Information
IntelliShop,3.5,14 reviews,N/A,N/A,/cmp/Intellishop
Market Force,3.4,106 reviews,Management & Consulting,"Our multi-location solutions provide a robust framework for measuring and improving employee experience, operational performance, customer experience, and your financial KPI's.",/cmp/Market-Force
Freelance / Multiple Platforms,5.0,1 review,N/A,N/A,/cmp/Freelance-Multiple-Platforms
Second to None,3.9,19 reviews,Beauty & Wellness,N/A,/cmp/Second-to-None
Alta360 Research,4.6,8 reviews,N/A,N/A,/cmp/Alta360-Research
Noxx cannabis,2.5,6 reviews,N/A,N/A,/cmp/Noxx-Cannabis
Bestmark,2.8,42 reviews,Financial Transaction Processing,N/A,/cmp/Bestmark
Kroger,3.3,"40,852 reviews",Retail & Wholesale,"At Kroger, we Feed Your Future.",/cmp/Kroger-54356a75
McDonald's,3.4,"256,946 reviews",Restaurants & Cafes,McDonald's is the largest chain of fast food restaurants in the world - join us today!,/cmp/McDonald's
Dollar Tree,3.2,"27,395 reviews",Retail & Wholesale,"Dollar Tree is headquartered in Chesapeake, VA, and we operate 9,000+ stores across the 48 contiguous states and five Canadian provinces.",/cmp/Dollar-Tree
Sheetz,3.7,"4,214 reviews",Retail & Wholesale,11x Top 100 Best Companies to Work For. Making Sheetz Happen 24/7/365. You in?,/cmp/Sheetz
Family Dollar,3.1,"22,773 reviews",Retail & Wholesale,"We are all about the Everyday Low Prices at Family Dollar. Family Dollar is headquartered in Chesapeake, VA.",/cmp/Family-Dollar
Safeway,3.3,"16,282 reviews",Retail & Wholesale,"Safeway is a national grocery store chain that merged with Albertson's in 2015, now one of the largest food and drug retailers in the US.",/cmp/Safeway
Macy's,3.6,"41,754 reviews","Department, Clothing & Shoe Stores","Macy’s, Inc., one of America’s most enduring, storied brands, has grown into a digitally led omnichannel retailer. It has its headquarter in NYC, with approximately 90,000 employees nationwide.",/cmp/Macy's
Walmart,3.4,"278,175 reviews",General Merchandise & Superstores,"Headquartered in Bentonville, Arkansas, Walmart is a multinational corporation that operates the largest chain of department stores globally.",/cmp/Walmart
Journeys,3.4,"5,725 reviews",Retail & Wholesale,"Journeys is a leader in the teen specialty retail scene, with more than 800 stores in all 50 states, Puerto Rico and Canada. Join our amazing team today!",/cmp/Journeys
Target,3.5,"79,671 reviews",General Merchandise & Superstores,"As a Fortune 50 company with more than 400,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.",/cmp/Target
Wakefern Food Corporation,3.5,"3,825 reviews",Retail & Wholesale,"A leader in food and beverage retailing, Wakefern’s unique cooperative structure allows independent grocers to compete, and succeed, against multinational chains.",/cmp/Wakefern-Food-Corporation
HEB,4.2,"12,421 reviews",Grocery Stores,"No Store Does More to bring Texas families the very best locally grown produce, 100% pure beef, & hundreds of products from around the world.",/cmp/Heb
Albertsons,3.5,"8,193 reviews",Retail & Wholesale,"Albertsons Companies is a team of more than 300,000 associates who support each other and appreciate the skills and passion each person brings to our Company.",/cmp/Albertsons
Sam's Club,3.4,"28,051 reviews",Retail & Wholesale,N/A,/cmp/Sam's-Club
Walgreens,3.4,"47,638 reviews",Retail & Wholesale,"Walgreens is proud to be a neighborhood health, beauty and retail destination supporting communities across the country.",/cmp/Walgreens
DoorDash,3.3,"15,630 reviews",Information Technology Support Services,"When you join our team, you join our dream: to grow and empower local economies.",/cmp/Doordash
GameStop,3.3,"11,998 reviews",Retail & Wholesale,"GameStop Corp., a Fortune 500 company headquartered in Grapevine, Texas, is a global, multichannel video game and consumer electronics retailer.",/cmp/Gamestop
Sprouts Farmers Market,3.0,"5,832 reviews",Retail & Wholesale,"Sprouts team members share a passion for fostering goodness and inspiring growth. We offer competitive pay, team member discounts, a fun and rewarding culture, and career advancement opportunities.",/cmp/Sprouts-Farmers-Market
CVS Health,3.2,"49,843 reviews",Healthcare,CVS Health is a pharmacy innovation company with a simple and clear purpose: Helping people on their path to better health.,/cmp/CVS-Health
Barnes & Noble,3.8,"6,909 reviews",Retail & Wholesale,"Headquartered in New York, New York, Barnes & Noble is the largest online and retail bookseller in the United States.",/cmp/Barnes-&-Noble
Dunkin',3.3,"28,393 reviews",Restaurants & Food Service,N/A,/cmp/Dunkin'-2cfce9bf
Taco Bell,3.4,"39,682 reviews",Restaurants & Cafes,"Taco Bell Corp., a subsidiary of Yum! Brands, Inc., (NYSE: YUM), is the nation's leading Mexican-inspired quick service restaurant.",/cmp/Taco-Bell
Arch Telecom,3.1,414 reviews,Telecommunications,"Arch Telecom is a full-service, Wireless Retailer with locations nationwide. Visit our website www.ArchTelecom.net to apply!",/cmp/Arch-Telecom-0f6ed9a8
"Hy-Vee, Inc.",3.5,"7,699 reviews",Retail & Wholesale,"Hy-Vee, Inc. is an employee-owned grocery store chain with 240 retail stores and over 82,000 employees.","/cmp/Hy--vee,-Inc."
Staples,3.4,"14,662 reviews",Retail & Wholesale,"Staples is a world-class retail, online and delivery capabilities leader. In fact, we're one of the world’s top five online retailers.",/cmp/Staples
Costco Wholesale,4.0,"17,870 reviews",Retail & Wholesale,"Headquartered in Issaquah, Washington, Costco is the largest wholesale club operator in the United States, and the third-largest retailer in the U.S.",/cmp/Costco-Wholesale
Papa Murphy's,3.6,"3,767 reviews",Restaurants & Food Service,"Papa Murphy's Pizza is a take-and-bake pizza company, where the pizza is made fresh right before your eyes before you take it home.",/cmp/Papa-Murphy's
Jacksons Food Stores,3.5,442 reviews,Retail & Wholesale,"Jacksons Food Stores is a nationally recognized convenience store operating in Idaho, Washington, Oregon, Utah, Montana, Nevada, California, and Arizona.",/cmp/Jacksons-Food-Stores
AutoZone,3.4,"15,776 reviews",N/A,"AutoZone is the nation's leading retailer and a leading distributor of automotive replacement parts and accessories with more than 6,000 stores in the US, Mexico, Brazil and Puerto Rico.",/cmp/Autozone
Circle K,3.3,"16,483 reviews",Convenience Stores,"Circle K/Couche-Tard is a global leader in convenience and mobility, operating in 29 countries and territories, with more than 16,700 stores, of which almost 13,100 offer road transportation fuel.",/cmp/Circle-K
Goodwill Industries,3.4,"20,831 reviews",Nonprofit & NGO,N/A,/cmp/Goodwill-Industries
ExtraMile,3.3,8 reviews,Convenience Stores,N/A,/cmp/Extramile
Wendy's,3.4,"43,656 reviews",Restaurants & Food Service,About Us The Wendy’s Company (NASDAQ: WEN) is the world’s third largest quick-service hamburger company. Learn more at www.wendys.com,/cmp/Wendy's
Dollar General,2.9,"41,938 reviews",Retail & Wholesale,N/A,/cmp/Dollar-General
Publix,3.9,"24,445 reviews",Grocery Stores,"Publix Super Markets, Inc. is an award-winning, employee-owned Florida-based supermarket chain with stores in seven Southeastern states.",/cmp/Publix
"EZCORP, Inc.",3.9,"1,819 reviews",Retail & Wholesale,"Formed with 16 pawn stores in 1989, EZCORP has grown into a leading provider of pawn loans, with over 500 locations in the United States and hundreds of locations across Latin America.","/cmp/Ezcorp,-Inc."
Amazon.com,3.5,"54,225 reviews",Retail & Wholesale,Our mission is to be Earth's most customer-centric company.,/cmp/Amazon.com
RaceTrac,3.4,"2,869 reviews",Retail & Wholesale,"RaceTrac stores offer a one-stop shop, featuring a wide selection of food and beverage favorites alongside competitively priced fuel.",/cmp/Racetrac-96789658
Diversified Restaurant Group,1.8,12 reviews,Restaurants & Food Service,N/A,/cmp/Diversified-Restaurant-Group
Zaxby's,3.5,"7,489 reviews",Restaurants & Food Service,"Want to get paid to make somebody’s day? Zaxby’s restaurants are looking for cheerful, efficient, responsible guys and gals to make the world a better place – one delicious chicken finger at a time.",/cmp/Zaxby's
Class Valuation,2.5,93 reviews,Real Estate,N/A,/cmp/Class-Valuation
Vision Government Solutions,3.3,34 reviews,Software Development,"Our mission is to provide the very best mass appraisal and property tax solutions, creating a better future one community at a time. Are you ready to join us?",/cmp/Vision-Government-Solutions
Stewart Title Guaranty Company,3.3,177 reviews,Insurance,N/A,/cmp/Stewart-Title-Guaranty-Company
Columbia Bank,3.2,491 reviews,Financial Services,"Columbia Bank is headquartered in the Pacific Northwest with 5,000+ employees and offers banking services to customers throughout the nation.",/cmp/Columbia-Bank-7
Columbia Bank,3.6,126 reviews,Financial Services,Joining Columbia Bank means you can create a unique career path that aligns with your personal and professional goals!,/cmp/Columbia-Bank
Farm Credit East,3.0,1 review,Financial Services,Serving the agricultural credit and financial needs of those in the business of agriculture.,/cmp/Farm-Credit-East-4
Future Automotive Group,3.7,115 reviews,N/A,"Since 1963 Future Automotive Group has been driven by integrity, service, and award-winning customer care. Join our fast-paced, people-first team!",/cmp/Future-Automotive-Group
Fred Loya Insurance,2.7,830 reviews,Insurance,Loya Insurance Group is a National leading provider in Automobile Insurance leveraging over 35 years of experience.,/cmp/Fred-Loya-Insurance
Frost,3.9,438 reviews,Financial Services,N/A,/cmp/Frost
CarMax,3.5,"6,677 reviews",Vehicle Dealers,N/A,/cmp/Carmax
PenFed Credit Union,3.0,422 reviews,Financial Services,N/A,/cmp/Penfed-Credit-Union
